"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Markdown", "CSS", "CSV", "MS SQL", "Prisma", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/runtime/library.d.ts", "TypeScript", 0, 0, 2343, 0, 0, 0, 0, 0, 0, 0, 0, 846, 459, 3648
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/runtime/library.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 16, 30, 147
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/runtime/react-native.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 5, 16, 84
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/runtime/wasm.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 8, 36
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1, 16, 129
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/wasm-edge-light-loader.mjs", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/wasm-worker-loader.mjs", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/wasm.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/edge/wasm.js", "JavaScript", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 21, 36, 295
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/client.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/client.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/default.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/default.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/edge.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/edge.js", "JavaScript", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 21, 36, 299
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/index-browser.js", "JavaScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 21, 35, 272
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/index.d.ts", "TypeScript", 0, 0, 5733, 0, 0, 0, 0, 0, 0, 0, 0, 4209, 865, 10807
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/index.js", "JavaScript", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 26, 44, 332
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/package.json", "JSON", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/db/generated/node/runtime/edge-esm.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 8, 35
